kysimus,kood,vastus,vastus_lyhike
K2_kontroll,1,Jah,Jah
K2_kontroll,2,Ei,Ei
K3_vanus,1,Alaealine (17 või noorem),<17
K3_vanus,2,18-29,18-29
K3_vanus,3,30-49,30-49
K3_vanus,4,50-64,50-64
K3_vanus,5,65 või vanem,65>
K4_sugu,1,Mees,Mees
K4_sugu,2,Naine,Naine
K4_sugu,3,Ei soovi määratleda,Määratlemata
K5_elukoht,1,Harju maakond,Harju
K5_elukoht,2,Hiiu maakond,Hiiu
K5_elukoht,3,Ida-Viru maakond,Ida-Viru
K5_elukoht,4,Järva maakond,Järva
K5_elukoht,5,Jõgeva maakond,Jõgeva
K5_elukoht,6,Lääne maakond,Lääne
K5_elukoht,7,Lääne-Viru maakond,Lääne-Viru
K5_elukoht,8,Põlva maakond,Põlva
K5_elukoht,9,Pärnu maakond,Pärnu
K5_elukoht,10,Rapla maakond,Rapla
K5_elukoht,11,Saare maakond,Saare
K5_elukoht,12,Tartu maakond,Tartu
K5_elukoht,13,Valga maakond,Valga
K5_elukoht,14,Viljandi maakond,Viljandi
K5_elukoht,15,Võru maakond,Võru
K5_elukoht,16,Muu,Muu
K6_keel,1,Eesti keel,Eesti
K6_keel,2,Inglise keel,Inglise
K6_keel,3,Vene keel,Vene
K6_keel,4,Muu,Muu
K7_sorteerimiskaitumine,1,Ei sorteeri,Ei sorteeri
K7_sorteerimiskaitumine,2,"Jah, maksimaalselt kahes kategoorias",Kuni 2 kategooriat
K7_sorteerimiskaitumine,3,"Jah, 3-5 jäätmekategoorias",3-5 kategooriat
K7_sorteerimiskaitumine,4,"Jah, üle 6 jäätmekategoorias",6+ kategooriat
K7_sorteerimiskaitumine,5,"Ei, sest elan täielikult null-kulu eluviisi",Null-kulu eluviis
K7_sorteerimiskaitumine,6,Muu,Muu
K8_teadmiste_hinnang,1,Väga madal või olematu tarbijateadlikkus,
K8_teadmiste_hinnang,2,2 - puudu,
